work,hot,cold,trial,time(s),hot_column_key,default_column_key,rocksdb.flush.write.bytes,rocksdb.compact.write.bytes,rocksdb.bytes.written,rocksdb.number.keys.read,rocksdb.bytes.read,rocksdb.block.cache.hit,rocksdb.block.cache.miss,rocksdb.memtable.hit,rocksdb.memtable.miss,rocksdb.db.get.micros,rocksdb.db.write.micros,rocksdb.db.seek.micros,rocksdb.compaction.total.time.cpu_micros,rocksdb.bytes.compressed.from,rocksdb.bytes.compressed.to,rocksdb.db.write.stall,rocksdb.stall.micros,rocksdb.flush.write.bytes,rocksdb.memtable.payload.bytes.at.flush,rocksdb.memtable.garbage.bytes.at.flush,rocksdb.file.read.flush.micros,rocksdb.file.write.flush.micros,rocksdb.db.flush.micros,db_get_micros.P50,db_get_micros.P95,db_get_micros.P99,db_get_micros.P100,db_get_micros.COUNT,db_get_micros.SUM,db_get_micros.AVG,db_write_micros.P50,db_write_micros.P95,db_write_micros.P99,db_write_micros.P100,db_write_micros.COUNT,db_write_micros.SUM,db_write_micros.AVG,db_write_stall.P50,db_write_stall.P95,db_write_stall.P99,db_write_stall.P100,db_write_stall.COUNT,db_write_stall.SUM,db_write_stall.AVG,file_read_flush_micros.P50,file_read_flush_micros.P95,file_read_flush_micros.P99,file_read_flush_micros.P100,file_read_flush_micros.COUNT,file_read_flush_micros.SUM,file_read_flush_micros.AVG,file_write_flush_micros.P50,file_write_flush_micros.P95,file_write_flush_micros.P99,file_write_flush_micros.P100,file_write_flush_micros.COUNT,file_write_flush_micros.SUM,file_write_flush_micros.AVG,db_flush_micros.P50,db_flush_micros.P95,db_flush_micros.P99,db_flush_micros.P100,db_flush_micros.COUNT,db_flush_micros.SUM,db_flush_micros.AVG
read,LZ4,Zlib,2,24.314,679362,0,0,334523,0,1000000,12659818496,1141503,1696079,0,1000000,0,0,0,0,62018794,313573,0,0,0,0,0,0,0,0,8.688403,92.45293,107.570592,784.0,1000000,23208530,23.20853,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,ZSTD,1,11.83,678638,0,0,853594,0,1000000,12656115712,1192057,1263358,0,1000000,0,0,0,0,61954404,832663,0,0,0,0,0,0,0,0,8.896087,18.084461,21.627374,768.0,1000000,10589710,10.58971,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,none,ZSTD,2,21.091,678608,0,0,2114885947,0,1000000,12643778560,658150,3730954,0,1000000,0,0,0,1719046,36232737,121925,0,0,0,0,0,0,0,0,16.50312,47.175926,66.397294,1768.0,1000000,19716978,19.716978,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,Snappy,1,20.867,678600,0,0,201724887,0,1000000,12659474432,219891,2672206,0,1000000,0,0,0,2914179,4069768137,200479868,0,0,0,0,0,0,0,0,9.283244,50.832027,71.299575,796.0,1000000,19574484,19.574484,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,Snappy,Zlib,1,205.98,0,250961,579596782,2630024822,16407310193,1806052,7289389056,8307136,5395064,7755,1798297,0,0,0,104748457,85258050781,3183367964,0,194618038,579596782,16269692701,219414638,0,0,0,2.013612,27.858383,44.965496,1053.0,1806052,14386003,7.965442301772042,8.427429,13.872257,18.192436,3397636.0,1000000,204604063,204.604063,2101754.385965,2883333.333333,3397515.0,3397515.0,99,194618038,1965838.7676767677,2.222222,19.6,60.0,150.0,692,3884,5.61271676300578,0.500434,0.950824,0.990859,3345.0,1958847,317029,0.16184469741638832,185384.615385,372055.555556,692766.666667,786133.0,173,35549459,205488.20231213872
write,Snappy,Zlib,3,251.382,0,250647,582799400,2794161050,16407310576,1806047,7284326400,6582383,5639556,3778,1802269,0,0,0,109521071,89333834920,3349457628,0,239780213,582799400,16335561216,220742828,0,0,0,1.960597,23.997822,45.440049,798.0,1806047,13506835,7.478673035640822,8.403924,13.854018,20.905573,4207485.0,1000000,249943394,249.943394,2433333.333333,4058620.689655,4207365.0,4207365.0,100,239780213,2397802.13,2.408333,26.1,51.5,144.0,696,4799,6.8951149425287355,0.500424,0.950805,0.990839,78476.0,1966726,410856,0.2089035279952571,194210.526316,484500.0,817080.0,887053.0,174,40104813,230487.43103448275
write,Snappy,Zlib,2,187.347,0,250324,582735306,2636250077,16407311069,1806116,7277903872,5887314,5210088,3772,1802344,0,0,0,95773948,83380148594,3193305391,0,175258057,582735306,16335561569,222038178,0,0,0,2.665865,27.745932,45.201586,793.0,1806116,12663682,7.0115551825021205,8.519034,14.146075,21.455537,3085047.0,1000000,185807323,185.807323,1686111.111111,2844444.444444,3084915.0,3084915.0,100,175258057,1752580.57,1.686747,18.015385,45.446667,135.0,696,3312,4.758620689655173,0.500398,0.950756,0.990787,1740.0,1966568,340516,0.17315241578221552,180434.782609,358136.363636,534850.0,726038.0,174,33258872,191142.94252873564
write,Snappy,ZSTD,3,226.802,0,250171,579075930,3064465116,16407311368,1805920,7278608384,5255702,5976683,3775,1802145,0,0,0,56868625,96023403936,3613994699,0,215012528,579075930,16335561817,221759457,0,0,0,2.224221,13.405911,21.474886,783.0,1805920,7892066,4.370108310445645,8.396168,14.062344,31.633969,3796554.0,1000000,225267342,225.267342,2300000.0,3796385.0,3796385.0,3796385.0,100,215012528,2150125.28,2.699187,32.311111,49.718462,122.0,696,5407,7.76867816091954,0.50047,0.950893,0.99093,1731.0,1966602,338178,0.171960569550931,129459.459459,462333.333333,824233.333333,1019533.0,174,29371379,168801.0287356322
read,Snappy,Snappy,2,18.913,678674,0,0,3093595,0,1000000,12653805568,1162824,2025128,0,1000000,0,0,0,0,62056292,3072628,0,0,0,0,0,0,0,0,9.452199,46.592771,62.517001,787.0,1000000,17727709,17.727709,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,Zlib,1,30.8,678559,0,0,3510695,0,1000000,12659523584,738565,2086566,0,1000000,0,0,0,0,127379361,3469842,0,0,0,0,0,0,0,0,18.750786,95.811856,108.554649,889.0,1000000,29503313,29.503313,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,none,ZSTD,1,682.836,0,250330,11290918829,29104514067,16407310841,1805947,7280771072,13562948,3715198,3776,1802171,0,0,0,37821314,18616239425,61045867,0,641343197,11290918829,16335561400,224645365,0,0,0,6.227114,14.775519,26.273352,775.0,1805947,12449956,6.893865656079608,8.691823,24.819221,50.34257,12123684.0,1000000,681056933,681.056933,6657142.857143,11900000.0,11997055.0,11997055.0,100,641343197,6413431.97,3.726316,66.37037,338.4,19125.0,696,50430,72.45689655172414,0.505536,0.960518,1.403825,36156.0,1966250,3830035,1.947888111888112,1381481.481481,3924800.0,4586000.0,6208500.0,174,273298541,1570681.2701149425
read,LZ4,ZSTD,2,13.21,679338,0,0,303849,0,1000000,12667895808,1157624,2052167,0,1000000,0,0,0,0,62002442,282904,0,0,0,0,0,0,0,0,8.973136,30.064531,33.845636,805.0,1000000,12074341,12.074341,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,none,ZSTD,2,514.429,0,249848,11291967997,28894184672,16407310872,1806088,7270563840,11909743,3736375,7732,1798356,0,0,0,38428826,18710525490,61398681,0,499895037,11291967997,16335561182,223382934,0,0,0,5.202868,16.609091,29.960818,765.0,1806088,11980535,6.633417087096531,8.493122,14.267946,30.944811,8180391.0,1000000,512736383,512.736383,5190476.190476,8180275.0,8180275.0,8180275.0,100,499895037,4998950.37,3.798387,65.912281,144.285714,2023.0,700,11936,17.05142857142857,0.506156,0.961696,1.633988,130907.0,1966411,4042723,2.055889129993679,1038500.0,2741836.734694,2884693.877551,3108959.0,175,208558099,1191760.5657142857
write,LZ4,ZSTD,2,207.475,0,250001,97793434,473493367,16407310989,1806049,7273709568,4518734,5847149,3775,1802274,0,0,0,42868919,93914789437,542418785,0,194333868,97793434,16335561349,223284333,0,0,0,2.032948,9.722648,14.94256,808.0,1806049,6853066,3.7945072365146237,8.468938,14.270686,33.157329,3237970.0,1000000,206043462,206.043462,1941666.666667,2879166.666667,3237830.0,3237830.0,100,194333868,1943338.68,2.327273,13.580645,27.211429,47.0,696,3070,4.410919540229885,0.50024,0.950456,0.990475,133.0,1966416,147821,0.0751728016859098,105450.0,190444.444444,266900.0,275472.0,174,20109005,115568.99425287357
read,Snappy,Zlib,2,36.895,679262,0,0,1628218,0,1000000,12659359744,1010561,2187687,0,1000000,0,0,0,390020,170278609,1573250,0,0,0,0,0,0,0,0,9.771537,135.152753,163.159381,912.0,1000000,35586414,35.586414,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,LZ4,ZSTD,1,302.003,0,249872,97813333,473931150,16407310892,1805924,7273644032,5739199,5844959,6833,1799091,0,0,0,42065179,93981574340,542854950,0,288145049,97813333,16335561233,220611545,0,0,0,2.218857,9.835724,16.209541,147.0,1805924,7516151,4.161942030783134,8.503687,14.408422,30.076649,5892017.0,1000000,300545816,300.545816,2870588.235294,4666666.666667,5891072.0,5891072.0,100,288145049,2881450.49,3.636364,27.647059,44.625,445.0,700,6507,9.295714285714286,0.500245,0.950465,0.990485,137.0,1966749,153696,0.07814723688686254,238936.170213,513593.75,787500.0,1249660.0,175,44447737,253987.06857142856
read,Snappy,ZSTD,3,14.997,678869,0,0,1165000,0,1000000,12659146752,1149973,2083542,0,1000000,0,0,0,0,62003804,1144052,0,0,0,0,0,0,0,0,9.264612,30.004152,33.463835,813.0,1000000,13928898,13.928898,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,ZSTD,2,15.059,678757,0,0,628342,0,1000000,12670992384,1242221,1981759,0,1000000,0,0,0,0,62069365,607376,0,0,0,0,0,0,0,0,9.139023,30.367866,33.919554,793.0,1000000,13844251,13.844251,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,none,Zlib,2,533.634,0,249614,11295455460,28462039953,16407311314,1805973,7268614144,18677506,3564302,7715,1798258,0,0,0,68512408,15447879794,62210878,0,513515766,11295455460,16335561451,223743528,0,0,0,7.657678,32.538799,50.443843,817.0,1805973,20774067,11.502977619266733,8.413768,14.46788,43.254323,9011172.0,1000000,532104818,532.104818,5009677.419355,9010877.0,9010877.0,9010877.0,100,513515766,5135157.66,3.363636,63.727273,84.5,11368.0,700,19885,28.40714285714286,0.505722,0.960872,1.423383,247277.0,1966367,4206798,2.13937581336546,1136250.0,2879729.72973,3325599.0,3325599.0,175,228201014,1304005.7942857144
write,LZ4,Zlib,1,267.916,0,250140,101475451,468419228,16407311056,1805990,7276953600,6420021,5673870,3775,1802215,0,0,0,94893223,91415819627,541788390,0,254118749,101475451,16335561474,223333738,0,0,0,2.680489,24.354823,42.627332,792.0,1805990,12001374,6.645315865536354,8.566139,14.267331,25.07173,5618749.0,1000000,266228986,266.228986,2474468.085106,4196296.296296,5618645.0,5618645.0,100,254118749,2541187.49,2.971014,21.9,57.5,3846.0,696,8635,12.406609195402298,0.500271,0.950515,0.990537,132.0,1966410,138193,0.07027679883645832,277464.788732,531321.428571,904200.0,1163412.0,174,49204869,282786.6034482759
write,Snappy,ZSTD,1,220.586,0,250473,578996990,3066341831,16407311889,1806087,7280820224,4098299,6065932,3772,1802315,0,0,0,58465301,97330768319,3615392378,0,203923316,578996990,16335562548,223973197,0,0,0,1.635306,13.560951,21.811389,769.0,1806087,7437642,4.118097300960585,8.677272,14.61915,32.0,5140830.0,1000000,219062894,219.062894,2059090.909091,4020000.0,5140524.0,5140524.0,100,203923316,2039233.16,2.681818,20.133333,63.666667,195.0,696,4506,6.474137931034483,0.500388,0.950737,0.990768,4696.0,1966332,322709,0.1641172497828444,140000.0,429400.0,806350.0,928998.0,174,29307259,168432.52298850575
write,Snappy,ZSTD,2,180.184,0,250735,578986449,3062552888,16407311730,1805927,7287734272,4977542,5831815,3779,1802148,0,0,0,55151634,93652904112,3612717771,0,168677943,578986449,16335562510,224169974,0,0,0,2.129639,13.436473,21.034901,783.0,1805927,7758380,4.296065123341087,8.390966,13.782496,18.949625,2687232.0,1000000,178778487,178.778487,1660975.609756,2686965.0,2686965.0,2686965.0,100,168677943,1686779.43,2.06,19.075556,36.525714,138.0,696,3534,5.077586206896552,0.500428,0.950813,0.990847,1756.0,1966308,372515,0.18944895713184304,123972.60274,247565.217391,522771.428571,525393.0,174,23919875,137470.5459770115
write,LZ4,Zlib,3,201.914,0,249712,101472308,410441853,16407310624,1806000,7269777408,5316834,5180412,3776,1802224,0,0,0,93315979,83240077310,486302770,0,189905540,101472308,16335561112,223694449,0,0,0,2.374124,19.857951,32.965229,959.0,1806000,11118533,6.15644130675526,8.492793,14.013823,18.904776,3265819.0,1000000,200321007,200.321007,1809677.419355,3265480.0,3265480.0,3265480.0,100,189905540,1899055.4,1.890625,17.275,68.0,197.0,696,3569,5.127873563218391,0.500261,0.950496,0.990517,138.0,1966366,137042,0.06969302764592146,170000.0,328764.705882,429400.0,590064.0,174,30966870,177970.5172413793
read,none,Zlib,1,44.789,678658,0,0,3598849925,0,1000000,12656820224,814795,5729859,0,1000000,0,0,0,4596047,439648854,1790689,0,0,0,0,0,0,0,0,45.857342,102.261858,147.702431,856.0,1000000,43343652,43.343652,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,none,Zlib,2,42.777,679556,0,0,3086175371,0,1000000,12663570432,237346,4090491,0,1000000,0,0,0,5440245,762866858,3113704,0,0,0,0,0,0,0,0,17.975689,138.738602,164.067882,1079.0,1000000,41335900,41.3359,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,LZ4,ZSTD,3,12.914,680621,0,0,256919,0,1000000,12684460032,1187100,2015641,0,1000000,0,0,0,0,62035857,235966,0,0,0,0,0,0,0,0,8.384019,30.290217,33.849701,821.0,1000000,11684504,11.684504,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,none,ZSTD,3,20.964,678246,0,0,2157055764,0,1000000,12649578496,657846,3671688,0,1000000,0,0,0,1776471,47894597,161135,0,0,0,0,0,0,0,0,17.113664,45.694039,59.166735,775.0,1000000,19524937,19.524937,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,none,Zlib,3,38.164,679093,0,0,1862676064,0,1000000,12656771072,916066,5137652,0,1000000,0,0,0,17244879,4120062282,15461602,0,0,0,0,0,0,0,0,33.81952,95.154714,155.674534,826.0,1000000,36741239,36.741239,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,Snappy,Zlib,3,32.704,678317,0,0,887667,0,1000000,12658491392,1301374,2434934,0,1000000,0,0,0,0,62053024,866706,0,0,0,0,0,0,0,0,22.690169,93.732416,108.439571,864.0,1000000,31507389,31.507389,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,LZ4,ZSTD,3,236.236,0,250615,97797195,474219095,16407310467,1806022,7284211712,4544337,5854402,3777,1802245,0,0,0,41680106,94019919329,543116276,0,224134820,97797195,16335561286,222595673,0,0,0,1.967785,9.727489,14.920553,80.0,1806022,6776467,3.7521508597348205,8.448787,14.07533,26.524725,3324370.0,1000000,234779240,234.77924,2247826.086957,2900000.0,3324111.0,3324111.0,100,224134820,2241348.2,2.52,14.688889,28.06,1034.0,696,4363,6.26867816091954,0.500227,0.950432,0.99045,135.0,1966500,149349,0.07594660564454615,111500.0,173000.0,242600.0,250628.0,174,20338605,116888.53448275862
write,none,Zlib,1,839.996,0,250559,11295733867,28984328526,16407310738,1806094,7282114560,20701923,3754968,3775,1802319,0,0,0,82272638,18745938986,74924336,0,793247971,11295733867,16335561448,223874705,0,0,0,8.052782,31.039961,41.428188,803.0,1806094,21360165,11.826718321416271,8.780079,28.120656,51.648703,15792446.0,1000000,838017720,838.01772,7943750.0,13458064.516129,14000000.0,14192746.0,100,793247971,7932479.71,3.852941,73.040816,27720.0,120781.0,696,561969,807.426724137931,0.506017,0.961432,1.52641,123797.0,1966344,4057226,2.0633347979804144,1709090.909091,5132857.142857,5728847.0,5728847.0,174,364532984,2095017.1494252873
read,LZ4,Zlib,3,32.779,678964,0,0,326961,0,1000000,12651298816,1215609,3375128,0,1000000,0,0,0,0,62018935,306013,0,0,0,0,0,0,0,0,21.182845,92.783376,108.146788,850.0,1000000,31565146,31.565146,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,none,Zlib,3,541.673,0,250109,11294850123,28671006792,16407311435,1806011,7276101632,19891144,3632083,7719,1798292,0,0,0,72749537,16586167158,66886807,0,528735470,11294850123,16335561770,224005795,0,0,0,7.902638,32.60534,50.342637,790.0,1806011,21645747,11.985390454432448,8.328988,13.583973,19.558032,9493847.0,1000000,540084395,540.084395,5366666.666667,9300000.0,9493536.0,9493536.0,100,528735470,5287354.7,3.333333,64.135593,76.0,1088.0,700,9855,14.07857142857143,0.506146,0.961677,1.592997,2355.0,1966335,3865329,1.9657530380123427,1099062.5,2808536.585366,2961668.0,2961668.0,175,223505771,1277175.8342857142
read,LZ4,Zlib,1,40.358,679819,0,0,332663,0,1000000,12665323520,1250950,3722351,0,1000000,0,0,0,0,62002479,311718,0,0,0,0,0,0,0,0,22.51137,109.817703,158.124987,915.0,1000000,39040076,39.040076,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,none,ZSTD,3,496.992,0,249947,11293697474,28630139347,16407311218,1805983,7273906176,9665494,3635828,3772,1802211,0,0,0,38882048,18105639363,59297775,0,483837057,11293697474,16335561820,221234755,0,0,0,4.730651,13.124705,21.375679,795.0,1805983,10146604,5.618327525785126,8.494503,14.118244,25.359677,7316475.0,1000000,495493315,495.493315,5019230.769231,7316340.0,7316340.0,7316340.0,100,483837057,4838370.57,3.724771,68.384615,158.48,6530.0,696,20416,29.333333333333332,0.505892,0.961194,1.517147,103109.0,1966666,4014236,2.041137641063607,1001666.666667,2706666.666667,2861333.333333,2898059.0,174,202091188,1161443.6091954024
read,none,ZSTD,1,22.138,679586,0,0,1645216581,0,1000000,12667944960,1250832,3785694,0,1000000,0,0,0,1456483,46695586,157064,0,0,0,0,0,0,0,0,20.034164,33.647203,46.785827,815.0,1000000,20614659,20.614659,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,Snappy,Snappy,1,234.981,0,249944,803879736,3809431422,16407311406,1805931,7274708992,6406672,5781933,5030,1800901,0,0,0,57082035,93008353750,4584684446,0,222387641,803879736,16335561716,222071030,0,0,0,3.00586,14.663067,21.908086,802.0,1805931,9546053,5.285945587068388,8.506973,14.352917,32.187801,4209739.0,1000000,233529423,233.529423,2281818.181818,3862500.0,4209613.0,4209613.0,100,222387641,2223876.41,3.135135,28.62069,49.0,293.0,700,6356,9.08,0.500506,0.950962,0.991003,6284.0,1966571,442699,0.22511213681072284,159285.714286,459166.666667,823750.0,896052.0,175,32279420,184453.82857142857
read,Snappy,Snappy,3,18.913,678674,0,0,3093595,0,1000000,12653805568,1162824,2025128,0,1000000,0,0,0,0,62056292,3072628,0,0,0,0,0,0,0,0,9.452199,46.592771,62.517001,787.0,1000000,17727709,17.727709,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
read,LZ4,ZSTD,1,17.474,679087,0,0,314149,0,1000000,12655280128,1291130,2844070,0,1000000,0,0,0,0,61969355,293214,0,0,0,0,0,0,0,0,15.613969,31.033868,37.423549,792.0,1000000,16328745,16.328745,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0
write,LZ4,Zlib,2,166.549,0,250011,101491234,460151752,16407311570,1805932,7275790336,10568671,5715562,3776,1802156,0,0,0,100721042,90954479582,533678132,0,147559775,101491234,16335561986,221365975,0,0,0,4.912169,26.88818,43.893717,886.0,1805932,14719928,8.150876112721852,8.493881,14.147578,27.834838,2636922.0,1000000,165056572,165.056572,1484745.762712,2566666.666667,2636788.0,2636788.0,100,147559775,1475597.75,1.661017,11.0,30.04,158.0,696,2698,3.8764367816091956,0.500278,0.950527,0.99055,194.0,1966650,140688,0.07153687743116467,159655.172414,285750.0,309004.0,309004.0,174,28763505,165307.5
write,Snappy,Snappy,3,272.591,0,250298,803862648,3856983093,16407311133,1806191,7276249088,5230841,5852240,3778,1802413,0,0,0,58275573,93963060474,4631924280,0,259916069,803862648,16335561676,222398876,0,0,0,2.242992,14.367537,23.109584,780.0,1806191,8655734,4.792258404565187,8.54793,14.60956,32.161673,4627898.0,1000000,271054977,271.054977,2542857.142857,4172727.272727,4627641.0,4627641.0,100,259916069,2599160.69,3.30303,32.48,47.622667,84.0,696,6352,9.126436781609195,0.500513,0.950974,0.991015,1781.0,1966524,451725,0.22970734148172103,154601.769912,525666.666667,829342.857143,958999.0,174,34133534,196169.7356321839
write,Snappy,Snappy,2,224.189,0,250717,804015593,3784357710,16407310457,1806081,7284916224,8287882,5744548,3778,1802303,0,0,0,56615086,92477145645,4559902980,0,211523276,804015593,16335561306,219365379,0,0,0,3.321859,15.939533,26.609575,797.0,1806081,10640890,5.891701424243984,8.530086,14.299913,26.874242,3621546.0,1000000,222644205,222.644205,2154901.960784,3620723.0,3620723.0,3620723.0,100,211523276,2115232.76,2.8125,21.806154,37.536,137.0,696,4802,6.899425287356322,0.50049,0.950932,0.990971,1829.0,1966894,483685,0.24591309953662982,140000.0,361800.0,775900.0,847069.0,174,29392999,168925.2816091954
